Sample,Trigger,post_img_blue,post_img_green,post_img_red,w_rgb_href,vtc_de_valid,vtc_hs,vtc_vs,per_frame_clken,per_frame_href,per_frame_vsync,per_img_blue,per_img_green,per_img_red,post_frame_clken,post_frame_href,post_frame_vsync,post_img_Bit,post_img_Y,post_img_pixel,u_bound_cut/I_awb_de,state
0,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B2,C2,B0,1,1,1,0,00000000,000000000000000000000000,1,00001
1,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A9,BA,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
2,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A2,AF,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
3,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A3,9A,1,1,1,0,00000000,000000000000000000000000,1,00001
4,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,99,95,1,1,1,0,00000000,000000000000000000000000,1,00001
5,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A4,9B,1,1,1,1,11111111,111111111111111111111111,1,00001
6,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A9,B8,A1,1,1,1,1,11111111,111111111111111111111111,1,00001
7,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AC,BB,AD,1,1,1,1,11111111,111111111111111111111111,1,00001
8,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B4,BB,B2,1,1,1,1,11111111,111111111111111111111111,1,00001
9,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,C6,B4,1,1,1,1,11111111,111111111111111111111111,1,00001
10,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B5,BE,B3,1,1,1,0,00000000,000000000000001111000000,1,00001
11,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B1,C4,B4,1,1,1,0,00000000,000000000000000000000000,1,00001
12,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B5,BC,B3,1,1,1,0,00000000,000000000000000000000000,1,00001
13,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,C5,B2,1,1,1,0,00000000,000000000000000000000000,1,00001
14,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AA,BC,B1,1,1,1,0,00000000,000000000000000000000000,1,00001
15,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AC,C6,B3,1,1,1,0,00000000,000000000000000000000000,1,00001
16,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,BB,B3,1,1,1,0,00000000,000000000000000000000000,1,00001
17,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,B9,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
18,0,00000000,00000000,00000000,1,1,0,0,1,1,1,B1,B9,AF,1,1,1,0,00000000,000000000000000000000000,1,00001
19,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AE,BB,B1,1,1,1,0,00000000,000000000000000000000000,1,00001
20,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,B9,AE,1,1,1,0,00000000,000000000000000000000000,1,00001
21,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AE,C3,AE,1,1,1,0,00000000,000000000000000000000000,1,00001
22,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AC,BB,AF,1,1,1,0,00000000,000000000000000000000000,1,00001
23,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AE,BE,AE,1,1,1,0,00000000,000000000000000000000000,1,00001
24,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AB,B9,B1,1,1,1,0,00000000,000000000000000000000000,1,00001
25,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,B6,AE,1,1,1,0,00000000,000000000000000000000000,1,00001
26,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AC,B9,AF,1,1,1,0,00000000,000000000000000000000000,1,00001
27,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AE,BE,AE,1,1,1,0,00000000,000000000000000000000000,1,00001
28,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AB,B8,AB,1,1,1,1,11111111,111111111111111111111111,1,00001
29,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AD,B2,A0,1,1,1,1,11111111,111111111111111111111111,1,00001
30,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A8,B6,AE,1,1,1,0,00000000,000000000000000000000000,1,00001
31,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AB,BC,A9,1,1,1,0,00000000,000000000000000000000000,1,00001
32,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A6,B4,A9,1,1,1,0,00000000,000000000000000000000000,1,00001
33,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A6,B5,A9,1,1,1,0,00000000,000000000000000000000000,1,00001
34,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AB,B4,A7,1,1,1,0,00000000,000000000000000000000000,1,00001
35,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AB,B3,A9,1,1,1,0,00000000,000000000000000000000000,1,00001
36,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A8,B4,AB,1,1,1,0,00000000,000000000000000000000000,1,00001
37,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AF,B4,A9,1,1,1,0,00000000,000000000000000000000000,1,00001
38,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A6,B2,A7,1,1,1,0,00000000,000000000000000000000000,1,00001
39,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A9,B2,A9,1,1,1,0,00000000,000000000000000000000000,1,00001
40,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A5,B2,A7,1,1,1,0,00000000,000000000000000000000000,1,00001
41,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A8,B1,AB,1,1,1,0,00000000,000000000000000000000000,1,00001
42,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A7,B1,A9,1,1,1,0,00000000,000000000000000000000000,1,00001
43,0,00000000,00000000,00000000,1,1,0,0,1,1,1,AB,B2,A7,1,1,1,0,00000000,000000000000000000000000,1,00001
44,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A6,B0,A4,1,1,1,0,00000000,000000000000000000000000,1,00001
45,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A6,A9,A6,1,1,1,0,00000000,000000000000000000000000,1,00001
46,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A5,B0,A6,1,1,1,0,00000000,000000000000000000000000,1,00001
47,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A6,B6,A6,1,1,1,0,00000000,000000000000000000000000,1,00001
48,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,B1,A6,1,1,1,0,00000000,000000000000000000000000,1,00001
49,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A3,B6,A4,1,1,1,0,00000000,000000000000000000000000,1,00001
50,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A3,B0,A8,1,1,1,0,00000000,000000000000000000000000,1,00001
51,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A3,AD,A3,1,1,1,0,00000000,000000000000000000000000,1,00001
52,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A5,AA,A3,1,1,1,0,00000000,000000000000000000000000,1,00001
53,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A3,AC,A6,1,1,1,0,00000000,000000000000000000000000,1,00001
54,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A3,B4,8E,1,1,1,0,00000000,000000000000000000000000,1,00001
55,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A5,AC,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
56,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,AD,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
57,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A3,A8,9F,1,1,1,0,00000000,000000000000000000000000,1,00001
58,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A4,B6,B0,1,1,1,0,00000000,000000000000000000000000,1,00001
59,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,AA,9E,1,1,1,0,00000000,000000000000000000000000,1,00001
60,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A2,AC,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
61,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A3,AE,9C,1,1,1,0,00000000,000000000000000000000000,1,00001
62,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,A2,A0,1,1,1,0,00000000,000000000000000000000000,1,00001
63,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A2,A8,9E,1,1,1,0,00000000,000000000000000000000000,1,00001
64,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,A1,B1,1,1,1,0,00000000,000000000000000000000000,1,00001
65,0,00000000,00000000,00000000,1,1,0,0,1,1,1,99,A3,9D,1,1,1,0,00000000,000000000000000000000000,1,00001
66,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,90,9C,1,1,1,0,00000000,000000000000000000000000,1,00001
67,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8C,96,8A,1,1,1,0,00000000,000000000000000000000000,1,00001
68,0,00000000,00000000,00000000,1,1,0,0,1,1,1,87,8E,83,1,1,1,0,00000000,000000000000000000000000,1,00001
69,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8D,8F,82,1,1,1,0,00000000,000000000000000000000000,1,00001
70,0,00000000,00000000,00000000,1,1,0,0,1,1,1,94,A0,98,1,1,1,1,11111111,111111111111111111111111,1,00001
71,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A5,9B,1,1,1,1,11111111,111111111111111111111111,1,00001
72,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,A9,A0,1,1,1,1,11111111,111111111111111111111111,1,00001
73,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,A9,A3,1,1,1,1,11111111,111111111111111111111111,1,00001
74,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,AA,A3,1,1,1,0,00000000,000000000000000000000000,1,00001
75,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,AC,A3,1,1,1,0,00000000,000000000000000000000000,1,00001
76,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,AB,A4,1,1,1,0,00000000,000000000000000000000000,1,00001
77,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A2,A1,A3,1,1,1,0,00000000,000000000000000000000000,1,00001
78,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,AB,A0,1,1,1,0,00000000,000000000000000000000000,1,00001
79,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,AB,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
80,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,AF,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
81,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A1,9C,1,1,1,0,00000000,000000000000000000000000,1,00001
82,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,A7,A0,1,1,1,0,00000000,000000000000000000000000,1,00001
83,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,A8,A0,1,1,1,0,00000000,000000000000000000000000,1,00001
84,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,A6,8C,1,1,1,0,00000000,000000000000000000000000,1,00001
85,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,A9,9E,1,1,1,0,00000000,000000000000000000000000,1,00001
86,0,00000000,00000000,00000000,1,1,0,0,1,1,1,99,A7,B0,1,1,1,0,00000000,000000000000000000000000,1,00001
87,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A4,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
88,0,00000000,00000000,00000000,1,1,0,0,1,1,1,98,A4,9D,1,1,1,0,00000000,000000000000000000000000,1,00001
89,0,00000000,00000000,00000000,1,1,0,0,1,1,1,99,A4,9C,1,1,1,0,00000000,000000000000000000000000,1,00001
90,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,A3,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
91,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,A4,9D,1,1,1,0,00000000,000000000000000000000000,1,00001
92,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,A3,9B,1,1,1,1,11111111,111111111111111111111111,1,00001
93,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,AC,9C,1,1,1,1,11111111,111111111111111111111111,1,00001
94,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A3,9D,1,1,1,0,00000000,000000000000000000000000,1,00001
95,0,00000000,00000000,00000000,1,1,0,0,1,1,1,98,A5,9E,1,1,1,0,00000000,000000000000000000000000,1,00001
96,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,AB,9F,1,1,1,0,00000000,000000000000000000000000,1,00001
97,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,A0,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
98,0,00000000,00000000,00000000,1,1,0,0,1,1,1,92,A3,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
99,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,A1,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
100,0,00000000,00000000,00000000,1,1,0,0,1,1,1,93,A1,98,1,1,1,0,00000000,000000000000000000000000,1,00001
101,0,00000000,00000000,00000000,1,1,0,0,1,1,1,95,A1,9D,1,1,1,0,00000000,000000000000000000000000,1,00001
102,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,A1,94,1,1,1,0,00000000,000000000000000000000000,1,00001
103,0,00000000,00000000,00000000,1,1,0,0,1,1,1,93,A0,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
104,0,00000000,00000000,00000000,1,1,0,0,1,1,1,95,A1,9A,1,1,1,0,00000000,000000000000000000000000,1,00001
105,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,A6,97,1,1,1,0,00000000,000000000000000000000000,1,00001
106,0,00000000,00000000,00000000,1,1,0,0,1,1,1,92,A1,95,1,1,1,0,00000000,000000000000000000000000,1,00001
107,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,9F,9A,1,1,1,0,00000000,000000000000000000000000,1,00001
108,0,00000000,00000000,00000000,1,1,0,0,1,1,1,97,A5,95,1,1,1,0,00000000,000000000000000000000000,1,00001
109,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,9F,95,1,1,1,0,00000000,000000000000000000000000,1,00001
110,0,00000000,00000000,00000000,1,1,0,0,1,1,1,97,9C,9F,1,1,1,0,00000000,000000000000000000000000,1,00001
111,0,00000000,00000000,00000000,1,1,0,0,1,1,1,93,9A,96,1,1,1,0,00000000,000000000000000000000000,1,00001
112,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8F,9A,99,1,1,1,0,00000000,000000000000000000000000,1,00001
113,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8E,91,8B,1,1,1,0,00000000,000000000000000000000000,1,00001
114,0,00000000,00000000,00000000,1,1,0,0,1,1,1,87,82,84,1,1,1,0,00000000,000000000000000000000000,1,00001
115,0,00000000,00000000,00000000,1,1,0,0,1,1,1,81,85,80,1,1,1,0,00000000,000000000000000000000000,1,00001
116,0,00000000,00000000,00000000,1,1,0,0,1,1,1,7E,84,78,1,1,1,0,00000000,000000000000000000000000,1,00001
117,0,00000000,00000000,00000000,1,0,0,0,1,1,1,84,85,7C,1,1,1,1,11111111,111111111111111111111111,1,00001
118,0,00000000,00000000,00000000,0,0,0,0,1,1,1,00,00,00,1,1,1,1,11111111,111111111111111111111111,1,00001
119,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,1,1,1,1,11111111,111111111111111111111111,0,00001
120,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,1,1,1,1,11111111,111111111111111111111111,0,00001
121,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,1,1,1,1,11111111,111111111111111111111111,0,00001
122,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
123,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
124,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
125,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
126,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
127,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
128,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
129,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
130,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
131,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
132,0,00000000,00000000,00000000,0,0,1,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
133,0,00000000,00000000,00000000,0,0,1,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
134,0,00000000,00000000,00000000,0,0,1,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
135,0,00000000,00000000,00000000,0,0,1,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
136,0,00000000,00000000,00000000,0,0,1,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
137,0,00000000,00000000,00000000,0,0,1,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
138,0,00000000,00000000,00000000,0,0,1,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
139,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
140,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
141,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
142,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
143,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
144,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
145,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
146,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
147,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
148,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
149,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
150,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
151,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
152,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
153,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
154,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
155,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
156,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
157,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
158,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
159,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
160,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
161,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
162,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
163,0,00000000,00000000,00000000,0,0,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
164,0,00000000,00000000,00000000,0,1,0,0,0,0,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,0,00001
165,0,00000000,00000000,00000000,1,1,0,0,1,1,1,00,00,00,0,0,1,1,11111111,111111111111111111111111,1,00001
166,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8F,94,8D,0,0,1,1,11111111,111111111111111111111111,1,00001
167,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8C,9D,92,0,0,1,1,11111111,111111111111111111111111,1,00001
168,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8D,97,92,0,0,1,1,11111111,111111111111111111111111,1,00001
169,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8F,99,94,1,1,1,0,00000000,000000000000001110000000,1,00001
170,0,00000000,00000000,00000000,1,1,0,0,1,1,1,8F,99,94,1,1,1,0,00000000,000000000000000000000000,1,00001
171,0,00000000,00000000,00000000,1,1,0,0,1,1,1,93,99,93,1,1,1,0,00000000,000000000000000000000000,1,00001
172,0,00000000,00000000,00000000,1,1,0,0,1,1,1,90,9E,93,1,1,1,0,00000000,000000000000000000000000,1,00001
173,0,00000000,00000000,00000000,1,1,0,0,1,1,1,92,9D,97,1,1,1,0,00000000,000000000000000000000000,1,00001
174,0,00000000,00000000,00000000,1,1,0,0,1,1,1,92,9D,95,1,1,1,0,00000000,000000000000000000000000,1,00001
175,0,00000000,00000000,00000000,1,1,0,0,1,1,1,92,99,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
176,0,00000000,00000000,00000000,1,1,0,0,1,1,1,95,9D,98,1,1,1,0,00000000,000000000000000000000000,1,00001
177,0,00000000,00000000,00000000,1,1,0,0,1,1,1,90,9B,97,1,1,1,0,00000000,000000000000000000000000,1,00001
178,0,00000000,00000000,00000000,1,1,0,0,1,1,1,93,A6,97,1,1,1,0,00000000,000000000000000000000000,1,00001
179,0,00000000,00000000,00000000,1,1,0,0,1,1,1,92,9B,92,1,1,1,0,00000000,000000000000000000000000,1,00001
180,0,00000000,00000000,00000000,1,1,0,0,1,1,1,92,99,99,1,1,1,0,00000000,000000000000000000000000,1,00001
181,0,00000000,00000000,00000000,1,1,0,0,1,1,1,97,9D,98,1,1,1,0,00000000,000000000000000000000000,1,00001
182,0,00000000,00000000,00000000,1,1,0,0,1,1,1,93,9D,97,1,1,1,0,00000000,000000000000000000000000,1,00001
183,0,00000000,00000000,00000000,1,1,0,0,1,1,1,93,A6,97,1,1,1,0,00000000,000000000000000000000000,1,00001
184,0,00000000,00000000,00000000,1,1,0,0,1,1,1,95,9E,99,1,1,1,0,00000000,000000000000000000000000,1,00001
185,0,00000000,00000000,00000000,1,1,0,0,1,1,1,95,A6,96,1,1,1,0,00000000,000000000000000000000000,1,00001
186,0,00000000,00000000,00000000,1,1,0,0,1,1,1,95,A4,95,1,1,1,1,11111111,111111111111111111111111,1,00001
187,0,00000000,00000000,00000000,1,1,0,0,1,1,1,95,A0,98,1,1,1,1,11111111,111111111111111111111111,1,00001
188,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,A0,9A,1,1,1,1,11111111,111111111111111111111111,1,00001
189,0,00000000,00000000,00000000,1,1,0,0,1,1,1,99,A6,9D,1,1,1,1,11111111,111111111111111111111111,1,00001
190,0,00000000,00000000,00000000,1,1,0,0,1,1,1,91,A3,9F,1,1,1,0,00000000,000000000000001111000000,1,00001
191,0,00000000,00000000,00000000,1,1,0,0,1,1,1,98,A2,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
192,0,00000000,00000000,00000000,1,1,0,0,1,1,1,98,A4,96,1,1,1,0,00000000,000000000000000000000000,1,00001
193,0,00000000,00000000,00000000,1,1,0,0,1,1,1,96,A0,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
194,0,00000000,00000000,00000000,1,1,0,0,1,1,1,98,A1,9F,1,1,1,0,00000000,000000000000000000000000,1,00001
195,0,00000000,00000000,00000000,1,1,0,0,1,1,1,99,A3,A2,1,1,1,0,00000000,000000000000000000000000,1,00001
196,0,00000000,00000000,00000000,1,1,0,0,1,1,1,98,A2,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
197,0,00000000,00000000,00000000,1,1,0,0,1,1,1,98,A3,9D,1,1,1,0,00000000,000000000000000000000000,1,00001
198,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,A7,B0,1,1,1,0,00000000,000000000000000000000000,1,00001
199,0,00000000,00000000,00000000,1,1,0,0,1,1,1,99,A5,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
200,0,00000000,00000000,00000000,1,1,0,0,1,1,1,99,A6,9B,1,1,1,0,00000000,000000000000000000000000,1,00001
201,0,00000000,00000000,00000000,1,1,0,0,1,1,1,99,A4,B0,1,1,1,0,00000000,000000000000000000000000,1,00001
202,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,A0,9D,1,1,1,0,00000000,000000000000000000000000,1,00001
203,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,A6,A0,1,1,1,0,00000000,000000000000000000000000,1,00001
204,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A3,8E,1,1,1,0,00000000,000000000000000000000000,1,00001
205,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,A8,8E,1,1,1,0,00000000,000000000000000000000000,1,00001
206,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9B,A5,9C,1,1,1,0,00000000,000000000000000000000000,1,00001
207,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,AC,9A,1,1,1,0,00000000,000000000000000000000000,1,00001
208,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,A8,A0,1,1,1,0,00000000,000000000000000000000000,1,00001
209,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,AE,A7,1,1,1,0,00000000,000000000000000000000000,1,00001
210,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,A9,A3,1,1,1,0,00000000,000000000000000000000000,1,00001
211,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,A8,A4,1,1,1,0,00000000,000000000000000000000000,1,00001
212,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9F,AF,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
213,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9C,A9,A3,1,1,1,0,00000000,000000000000000000000000,1,00001
214,0,00000000,00000000,00000000,1,1,0,0,1,1,1,9D,AB,A1,1,1,1,0,00000000,000000000000000000000000,1,00001
215,0,00000000,00000000,00000000,1,1,0,0,1,1,1,A0,AA,A3,1,1,1,0,00000000,000000000000000000000000,1,00001
